,2,3,4,5
Prosumer SH 1,0.07559782156845135,0.0,0.0,0.0
Prosumer SH 2,0.3722146850268442,0.3055708369867763,0.31408041901401973,0.2847424607708184
Prosumer SH 3,0.4268747158272729,0.3873614165232824,0.4257262957733478,0.0
Prosumer SH 4,0.0,0.5190315596832571,0.5120481199961527,0.5523733280828654
Prosumer SH 5,0.0,0.0,0.0,0.0
Prosumer SH 6,0.0,0.0,0.0,0.0
Prosumer SH 7,0.5452268605232296,0.5091238262826547,0.5393028034040852,0.5033216737984781
Prosumer SH 8,0.0,0.0,0.0,1.681149175598283e-11
Prosumer SH 9,0.0,0.8375695138130267,0.8821710480419019,0.8201020608563608
Prosumer SH 10,0.0,0.0,0.0,0.0
Prosumer SAB 1,0.0,0.0,0.0,0.0
Prosumer SAB 2,0.0,0.0,0.0,0.0
Prosumer SAB 3,0.0,0.0,0.0,0.0
Prosumer SAB 4,0.0,0.0,0.0,0.0
Prosumer SAB 5,0.9716029742291259,0.9845477351730763,0.9454882369342205,0.9622431380907314
Prosumer SAB 6,0.0,0.0,0.0,0.0
Prosumer SAB 7,0.0,0.0,0.0,0.0
Prosumer SAB 8,1.4765188841040173,1.4716503912249352,1.4517698445701603,1.4075005758553927
Prosumer SME 1,1.0954898860044893,1.0391197151151832,1.0011257093716612,0.9841611541607485
Prosumer SME 2,1.7554303879207884,1.7685208691364873,1.7431118519453364,0.0
