,2,3,4,5
Prosumer SH 1,0.0879196122319767,0.0,0.0,0.0
Prosumer SH 2,0.32214134796418137,0.31563979732528297,0.3604065726395002,0.33877975108529823
Prosumer SH 3,0.4422193092302309,0.4376998620438838,0.3972047922443442,0.4396697469586212
Prosumer SH 4,0.0,0.0,0.0,0.0
Prosumer SH 5,0.635660282680174,0.6774694123298458,0.6761310816774342,0.6768902783808147
Prosumer SH 6,0.35165612342534464,0.4349862315472447,0.0,0.0
Prosumer SH 7,0.5023624684926524,0.5646155213880554,0.5553747199245609,0.5525773706625164
Prosumer SH 8,0.0,0.0,0.0,0.0
Prosumer SH 9,0.0,0.0,0.0,0.0
Prosumer SH 10,0.0,0.0,0.0,0.0
Prosumer SAB 1,0.0,3.4868824267655895e-10,1.151844075553676e-13,4.8347141430700763e-14
Prosumer SAB 2,0.0,0.845551790974147,0.8713948626498531,0.8623548609155496
Prosumer SAB 3,0.0,0.8791235873674553,0.88003894342802,0.8713659204787481
Prosumer SAB 4,0.0,0.0,0.0,0.0
Prosumer SAB 5,0.9095419332257959,0.9808687909622957,1.0538151884064104,0.9937224124441771
Prosumer SAB 6,0.0,0.0,0.0,0.0
Prosumer SAB 7,0.0,1.0992498561047226,1.1715604018093293,1.2313925487393402
Prosumer SAB 8,1.4619930052036663,0.0,0.0,-6.7098832088719e-11
Prosumer SME 1,1.0392688565702652,1.1483706172672477,1.1213620999126956,1.120535773026571
Prosumer SME 2,1.666241312296322,0.0,0.0,0.0
