,2,3,4,5
Prosumer SH 1,0.10150958518509104,0.0,0.0,-2.791200900354589e-11
Prosumer SH 2,0.3858382953664142,0.3477839603839566,0.0,0.0
Prosumer SH 3,0.4617423407611848,0.47720796198362564,0.0,0.0
Prosumer SH 4,0.0,0.0,0.0,0.0
Prosumer SH 5,0.6878102532777808,0.0,0.0,0.0
Prosumer SH 6,0.0,4.192776841114404e-09,0.0,-4.2290652507732725e-11
Prosumer SH 7,0.5102473862019536,0.0,0.0,0.0
Prosumer SH 8,0.0,0.0,0.0,0.0
Prosumer SH 9,0.0,0.0,0.0,0.0
Prosumer SH 10,0.0,0.0,0.0,0.0
Prosumer SAB 1,0.0,0.0,0.0,0.0
Prosumer SAB 2,0.0,0.0,0.0,0.0
Prosumer SAB 3,0.0,0.0,0.0,0.0
Prosumer SAB 4,0.0,0.0,0.0,0.0
Prosumer SAB 5,0.9499925506287358,0.0,0.0,0.0
Prosumer SAB 6,0.0,0.0,0.0,0.0
Prosumer SAB 7,0.0,0.0,0.0,0.0
Prosumer SAB 8,0.0,0.0,0.0,0.0
Prosumer SME 1,1.0488598223263652,0.0,0.0,0.0
Prosumer SME 2,1.7060744600122284,0.0,0.0,0.0
