,0
Prosumer SH 1,3
Prosumer SH 2,3
Prosumer SH 3,3
Prosumer SH 4,0
Prosumer SH 5,0
Prosumer SH 6,2
Prosumer SH 7,2
Prosumer SH 8,0
Prosumer SH 9,0
Prosumer SH 10,0
Prosumer SAB 1,0
Prosumer SAB 2,0
Prosumer SAB 3,2
Prosumer SAB 4,2
Prosumer SAB 5,2
Prosumer SAB 6,0
Prosumer SAB 7,3
Prosumer SAB 8,0
Prosumer SME 1,3
Prosumer SME 2,0
